Company,FiscalYear,y_true,Fundamental_Outlook,Risk_Flag,R4_fired,generated_sentence
ADBL,2074/2075,0,0.5641783642052003,0.575998386440049,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2075/2076,0,0.570074929591027,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2076/2077,0,0.5639637910772477,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2077/2078,0,0.5551544804145523,0.5,True,"Fundamentals appear strong on raw indicators, but the model's confidence is low; this signal should not be acted on without additional review. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review."
ADBL,2078/2079,1,0.5198336932464488,0.7017827414262681,True,Fundamentals are mixed: Liquidity-pressure building is offset by Funding pressure easing. Elevated risk: NPL deterioration is plausible within the next reporting cycle. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
ADBL,2079/2080,1,0.6358180017972933,0.3719150428509323,False,Fundamentals are mixed: Margin expansion is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended.
ADBL,2080/2081,0,0.6535747927237926,0.3686217550063002,False,"Fundamentals are strong, supported by Margin expansion. Risk monitoring is warranted on liquidity and capital positions. Model confidence is moderate; supplementary review is recommended."
ADBL,2081/2082,1,0.5497965157397383,0.5,True,Fundamentals are mixed: no clear positive fundamental signal is offset by Liquidity-pressure reducing. Risk monitoring is warranted on liquidity and capital positions. Model confidence is low - this assessment should be treated as a preliminary signal pending supervisory review.
EBL,2074/2075,0,0.6865994643910409,0.5748562941424542,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
EBL,2075/2076,0,0.6987486740659292,0.3683324283003362,False,"Fundamentals are strong, supported by Capital cushion strengthening. Risk monitoring is warranted on liquidity and capital positions. Model confidence in this assessment is high."
